Symbol;Name;Market Capital;CEO;Employees;Headquarters;Founded;Industry;Source;Source Link
ABEO;Abeona Therapeutics Inc. Common Stock;328426245.00;;;6555 CARNEGIE AVE, 4TH FLOOR Cleveland, OH 44103 United States;;;CNBC;https://www.cnbc.com/quotes/ABEO
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);39454529247.00;;;Rua Dr. Renato Paes de Barros 1.017, 4 andar, Itaim Bibi Sao Paulo 04.530-001 Brazil;;;CNBC;https://www.cnbc.com/quotes/ABEV
ABG;Asbury Automotive Group Inc Common Stock;4427046240.00;;;SUITE 300, 2905 PREMIERE PARKWAY NW Duluth, GA 30097 United States;;;CNBC;https://www.cnbc.com/quotes/ABG
ABL;Abacus Global Management Inc. Class A Common Stock;791289329.00;Jay Jackson;;2101 Park Center Drive, Suite 200 Orlando, FL 32835 United States;;;CNBC;https://www.cnbc.com/quotes/ABL
ABLLL;Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028;1904355862.00;Jay Jackson;;2101 Park Center Drive, Suite 200 Orlando, FL 32835 United States;;;CNBC;https://www.cnbc.com/quotes/ABLLL
ABLLW;Abacus Global Management Inc. Warrant;163681636.00;Jay Jackson;;2101 Park Center Drive, Suite 200 Orlando, FL 32835 United States;;;CNBC;https://www.cnbc.com/quotes/ABLLW
ABLV;Able View Global Inc. Class B Ordinary Shares;55316713.00;Zhifan Zhou;;Room 1803, 511 Weihai Road Shanghai, SHA 200041 China;;;CNBC;https://www.cnbc.com/quotes/ABLV
ABLVW;Able View Global Inc. Warrant;745788.00;Zhifan Zhou;;Room 1803, 511 Weihai Road Shanghai, SHA 200041 China;;;CNBC;https://www.cnbc.com/quotes/ABLVW
ABM;ABM Industries Incorporated Common Stock;3176914859.00;;;One Liberty Plaza, 7Th Floor New York, NY 10006 United States;;;CNBC;https://www.cnbc.com/quotes/ABM
ABNB;Airbnb Inc. Class A Common Stock;79379024314.00;Brian Chesky;;888 Brannan St. San Francisco, CA 94103 United States;;;CNBC;https://www.cnbc.com/quotes/ABNB
ABOS;Acumen Pharmaceuticals Inc. Common Stock;61784894.00;;;427 PARK ST. Charlottesville, VA 22902 United States;;;CNBC;https://www.cnbc.com/quotes/ABOS
ABP;Abpro Holdings Inc Common Stock;12886902.00;Jin Wook Suk;;6 St Johns Lane, Floor 5 New York, NY 10013 United States;;;CNBC;https://www.cnbc.com/quotes/ABP
ABPWW;Abpro Holdings Inc. Warrant;911809.00;Jin Wook Suk;;6 St Johns Lane, Floor 5 New York, NY 10013 United States;;;CNBC;https://www.cnbc.com/quotes/ABPWW
ABR;Arbor Realty Trust Common Stock;1821678999.00;Ivan Kaufman;;SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States;;;CNBC;https://www.cnbc.com/quotes/ABR
ABR^D;Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share;;Ivan Kaufman;;SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States;;;CNBC;https://www.cnbc.com/quotes/ABR
ABR^E;Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock;;Ivan Kaufman;;SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States;;;CNBC;https://www.cnbc.com/quotes/ABR
ABR^F;Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share;;Ivan Kaufman;;SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States;;;CNBC;https://www.cnbc.com/quotes/ABR
ABSI;Absci Corporation Common Stock;339307876.00;;;18105 Se Mill Plain Blvd Vancouver, WA 98683 United States;;;CNBC;https://www.cnbc.com/quotes/ABSI
ABT;Abbott Laboratories Common Stock;228440527855.00;Robert Ford;;100 Abbott Park Road, Abbot Park Abbott Park, IL 60064-3500 United States;;;CNBC;https://www.cnbc.com/quotes/ABT
ABTS;Abits Group Inc Ordinary Shares;9053931.00;Conglin Deng;;Floor 4 Banco Popular Building, Road Town Tortola 2299 1110 Hong Kong;;;CNBC;https://www.cnbc.com/quotes/ABTS
ABUS;Arbutus Biopharma Corporation Common Stock;616717355.00;Lindsay Androski J.D.;;701 Veterans Circle Warminster, PA 18974 United States;;;CNBC;https://www.cnbc.com/quotes/ABUS
ABVC;ABVC BioPharma Inc. Common Stock;19289250.00;;;44370 Old Warm Springs Blvd Fremont, CA 94538-6148 United States;;;CNBC;https://www.cnbc.com/quotes/ABVC
ABVE;Above Food Ingredients Inc. Common Stock;37258173.00;Jeff Alberto Ardura Gonzalez;;2305 Victoria Avenue #001 Regina, SK S4P 0S7 Canada;;;CNBC;https://www.cnbc.com/quotes/ABVE
ABVEW;Above Food Ingredients Inc. Warrants;1393011.00;Jeff Alberto Ardura Gonzalez;;2305 Victoria Avenue #001 Regina, SK S4P 0S7 Canada;;;CNBC;https://www.cnbc.com/quotes/ABVEW
ABVX;Abivax SA American Depositary Shares;359383271.00;;;7-11 Boulevard Haussmann Paris 75009 France;;;CNBC;https://www.cnbc.com/quotes/ABVX
AC;Associated Capital Group Inc. Common Stock;813800565.00;;;191 Mason Street Greenwich, CT 06830 United States;;;CNBC;https://www.cnbc.com/quotes/AC
ACA;Arcosa Inc. Common Stock ;4133746247.00;;;500 N Akard St Ste 400 Dallas, TX 75201-3332 United States;;;CNBC;https://www.cnbc.com/quotes/ACA
ACAD;ACADIA Pharmaceuticals Inc. Common Stock;3678613485.00;;;12830 El Camino Real, Suite 400 San Diego, CA 92130 United States;;;CNBC;https://www.cnbc.com/quotes/ACAD
ACB;Aurora Cannabis Inc. Common Shares;300634274.00;Miguel Martin;;2207 90B Street Sw Leduc, AB T6X 1V8 Canada;;;CNBC;https://www.cnbc.com/quotes/ACB
ACCO;Acco Brands Corporation Common Stock;311742730.00;;;Four Corporate Drive Lake Zurich, IL 60047 United States;;;CNBC;https://www.cnbc.com/quotes/ACCO
ACCS;ACCESS Newswire Inc. Common Stock;40401302.00;Brian Balbirnie;;1 Glenwood Ave., Suite 1001 Raleigh, NC 27603 United States;;;CNBC;https://www.cnbc.com/quotes/ACCS
ACDC;ProFrac Holding Corp. Class A Common Stock;1037956239.00;;;333 Shops Boulevard, Suite 301 Willow Park, TX 76087 United States;;;CNBC;https://www.cnbc.com/quotes/ACDC
ACEL;Accel Entertainment Inc. ;949675240.00;;;140 Tower Dr Burr Ridge, IL 60527 United States;;;CNBC;https://www.cnbc.com/quotes/ACEL
ACET;Adicet Bio Inc. Common Stock ;57367396.00;Chen Schor CPA;;131 Dartmouth Street, 3Rd Floor Boston, MA 02116 United States;;;CNBC;https://www.cnbc.com/quotes/ACET
ACGL;Arch Capital Group Ltd. Common Stock;34503649117.00;;;WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD Pembroke HM 08 Bermuda;;;CNBC;https://www.cnbc.com/quotes/ACGL
ACGLN;Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G;6299623565.00;;;WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD Pembroke HM 08 Bermuda;;;CNBC;https://www.cnbc.com/quotes/ACGLN
ACGLO;Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F;7626254584.00;;;WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD Pembroke HM 08 Bermuda;;;CNBC;https://www.cnbc.com/quotes/ACGLO
ACHC;Acadia Healthcare Company Inc. Common Stock;2075512332.00;;;6100 Tower Circle, Suite 1000 Franklin, TN 37067 United States;;;CNBC;https://www.cnbc.com/quotes/ACHC
ACHR;Archer Aviation Inc. Class A Common Stock;5814027115.00;Adam Goldstein;;190 West Tasman Drive San Jose, CA 95134 United States;;;CNBC;https://www.cnbc.com/quotes/ACHR
ACHV;Achieve Life Sciences Inc. Common Shares;105442619.00;;;22722 29TH DR. SE, SUITE 100 Seattle, WA 98021 United States;;;CNBC;https://www.cnbc.com/quotes/ACHV
